Christian Fiedler,Tor,26,Hertha BSC,31
Gabor Kiraly,Tor,25,Hertha BSC,62
Michael Hartmann,Abwehr,27,Hertha BSC,57
Kostas Konstantinidis,Abwehr,28,Hertha BSC,11
Denis Lapaczinski,Abwehr,19,Hertha BSC,28
Marko Rehmer,Abwehr,29,Hertha BSC,50
Josip Simunic,Abwehr,23,Hertha BSC,51
Dick Burik van,Abwehr,27,Hertha BSC,54
Stefan Beinlich,Mittelfeld,29,Hertha BSC,64
Pal Dardai,Mittelfeld,25,Hertha BSC,65
Sebastian Deisler,Mittelfeld,21,Hertha BSC,34
Bart Goor,Mittelfeld,28,Hertha BSC,96
Rob Maas,Mittelfeld,31,Hertha BSC,32
Marcelinho,Mittelfeld,26,Hertha BSC,123
Thorben Marx,Mittelfeld,20,Hertha BSC,26
Andreas Neuendorf,Mittelfeld,26,Hertha BSC,36
Roberto Pinto,Mittelfeld,22,Hertha BSC,3
Andreas Schmidt,Mittelfeld,27,Hertha BSC,48
René Tretschok,Mittelfeld,32,Hertha BSC,37
Alves Alex,Sturm,26,Hertha BSC,59
Ali Daei,Sturm,32,Hertha BSC,9
Fredrik Trond Ludvigsen,Sturm,19,Hertha BSC,2
Michael Preetz,Sturm,33,Hertha BSC,108
Eyjolfur Sverrisson,Sturm,32,Hertha BSC,34
Joel Tchami,Sturm,19,Hertha BSC,1
Frank Rost,Tor,28,Werder Bremen,90
Stefan Blank,Abwehr,24,Werder Bremen,1
Mladen Krstajic,Abwehr,27,Werder Bremen,56
Ludovic Magnin,Abwehr,22,Werder Bremen,6
Paul Stalteri,Abwehr,23,Werder Bremen,47
Razundara Tjikuzu,Abwehr,21,Werder Bremen,45
Frank Verlaat,Abwehr,33,Werder Bremen,76
Ivica Banovic,Mittelfeld,20,Werder Bremen,27
Frank Baumann,Mittelfeld,25,Werder Bremen,74
Marco Bode,Mittelfeld,32,Werder Bremen,92
Tim Borowski,Mittelfeld,21,Werder Bremen,43
Dieter Eilts,Mittelfeld,36,Werder Bremen,8
Fabian Ernst,Mittelfeld,22,Werder Bremen,66
Torsten Frings,Mittelfeld,24,Werder Bremen,99
Andreas Herzog,Mittelfeld,32,Werder Bremen,17
Krisztian Lisztes,Mittelfeld,25,Werder Bremen,83
Viktor Skripnik,Mittelfeld,31,Werder Bremen,79
Holger Wehlage,Mittelfeld,25,Werder Bremen,7
Ailton,Sturm,28,Werder Bremen,119
Ivan Klasnic,Sturm,21,Werder Bremen,33
Roberto Silva,Sturm,25,Werder Bremen,6
André Lenz,Tor,27,Energie Cottbus,22
Tomislav Piplica,Tor,32,Energie Cottbus,78
Christian Beeck,Abwehr,29,Energie Cottbus,46
Vragel Silva da,Abwehr,27,Energie Cottbus,67
Faruk Hujdurovic,Abwehr,31,Energie Cottbus,42
Janos Matyus,Abwehr,26,Energie Cottbus,39
Jörg Scherbe,Abwehr,23,Energie Cottbus,14
Vilmos Sebök,Abwehr,28,Energie Cottbus,37
Rudi Vata,Abwehr,31,Energie Cottbus,1
Witold Wawrzyczek,Abwehr,28,Energie Cottbus,13
Bruno Akrapovic,Mittelfeld,33,Energie Cottbus,60
Lars Jungnickel,Mittelfeld,19,Energie Cottbus,3
Radoslaw Kaluzny,Mittelfeld,27,Energie Cottbus,71
Moussa Latoundji,Mittelfeld,22,Energie Cottbus,4
Vasile Miriuta,Mittelfeld,32,Energie Cottbus,81
Laurentiu Reghecampf,Mittelfeld,25,Energie Cottbus,57
Timo Rost,Mittelfeld,22,Energie Cottbus,8
Silvio Schröter,Mittelfeld,22,Energie Cottbus,44
Hamid Termina,Mittelfeld,24,Energie Cottbus,2
Ronny Thielemann,Mittelfeld,27,Energie Cottbus,14
Otto Vincze,Mittelfeld,26,Energie Cottbus,12
Brasilia,Sturm,24,Energie Cottbus,26
Markus Feldhoff,Sturm,26,Energie Cottbus,9
Franklin,Sturm,32,Energie Cottbus,27
Sebastian Helbig,Sturm,24,Energie Cottbus,46
Andrzej Kobylanski,Sturm,31,Energie Cottbus,71
Antun Labak,Sturm,31,Energie Cottbus,27
Thomas Reichenberger,Sturm,26,Energie Cottbus,17
Marko Topic,Sturm,25,Energie Cottbus,75
Philipp Laux,Tor,28,Borussia Dortmund,21
Jens Lehmann,Tor,31,Borussia Dortmund,73
Dede,Abwehr,23,Borussia Dortmund,63
Evanilson,Abwehr,25,Borussia Dortmund,59
Jörg Heinrich,Abwehr,31,Borussia Dortmund,42
Jürgen Kohler,Abwehr,35,Borussia Dortmund,39
Ahmed Madouni,Abwehr,20,Borussia Dortmund,7
Christoph Metzelder,Abwehr,20,Borussia Dortmund,51
