Ömer Toprak,Abwehr,29,Borussia Dortmund
Dan-Axel Zagadou,Abwehr,19,Borussia Dortmund
Jacob Bruun Larsen,Mittelfeld,19,Borussia Dortmund
Dzenis Burnic,Mittelfeld,20,Borussia Dortmund
Mahmoud Dahoud,Mittelfeld,22,Borussia Dortmund
Thomas Delaney,Mittelfeld,26,Borussia Dortmund
Sergio Gomez,Mittelfeld,17,Borussia Dortmund
Mario Götze,Mittelfeld,26,Borussia Dortmund
Shinji Kagawa,Mittelfeld,29,Borussia Dortmund
Christian Pulisic,Mittelfeld,19,Borussia Dortmund
Marco Reus,Mittelfeld,29,Borussia Dortmund
Sebastian Rode,Mittelfeld,27,Borussia Dortmund
Nuri Sahin,Mittelfeld,29,Borussia Dortmund
Jadon Sancho,Mittelfeld,18,Borussia Dortmund
Julian Weigl,Mittelfeld,22,Borussia Dortmund
Marius Wolf,Mittelfeld,23,Borussia Dortmund
Alexander Isak,Sturm,18,Borussia Dortmund
Maximilian Philipp,Sturm,24,Borussia Dortmund
Michael Rensing,Torwart,34,Fortuna Düsseldorf
Tim Wiesner,Torwart,21,Fortuna Düsseldorf
Raphael Wolf,Torwart,30,Fortuna Düsseldorf
Kaan Ayhan,Abwehr,23,Fortuna Düsseldorf
Robin Bormuth,Abwehr,22,Fortuna Düsseldorf
Diego Contento,Abwehr,28,Fortuna Düsseldorf
Niko Gießelmann,Abwehr,26,Fortuna Düsseldorf
Gökhan Gül,Abwehr,20,Fortuna Düsseldorf
Andre Hoffmann,Abwehr,25,Fortuna Düsseldorf
Anderson Lucoqui,Abwehr,21,Fortuna Düsseldorf
Georgios Siadas,Abwehr,18,Fortuna Düsseldorf
Jean Zimmer,Abwehr,24,Fortuna Düsseldorf
Matthias Zimmermann,Abwehr,26,Fortuna Düsseldorf
Aymen Barkok,Mittelfeld,20,Fortuna Düsseldorf
Adam Bodzek,Mittelfeld,32,Fortuna Düsseldorf
Taylan Duman,Mittelfeld,21,Fortuna Düsseldorf
Oliver Fink,Mittelfeld,36,Fortuna Düsseldorf
Kianz Froese,Mittelfeld,22,Fortuna Düsseldorf
Kenan Karaman,Mittelfeld,24,Fortuna Düsseldorf
Davor Lovren,Mittelfeld,19,Fortuna Düsseldorf
Alfredo Morales,Mittelfeld,28,Fortuna Düsseldorf
Havard Nielsen,Mittelfeld,25,Fortuna Düsseldorf
Benito Raman,Mittelfeld,23,Fortuna Düsseldorf
Marcel Sobottka,Mittelfeld,24,Fortuna Düsseldorf
Kevin Stöger,Mittelfeld,24,Fortuna Düsseldorf
Marvin Ducksch,Sturm,24,Fortuna Düsseldorf
Rouwen Hennings,Sturm,30,Fortuna Düsseldorf
Emir Kujovic,Sturm,30,Fortuna Düsseldorf
Dodi Lukebakio,Sturm,20,Fortuna Düsseldorf
Frederik Rönnow,Torwart,25,Eintracht Frankfurt
Felix Wiedwald,Torwart,28,Eintracht Frankfurt
Jan Zimmermann,Torwart,33,Eintracht Frankfurt
David Abraham,Abwehr,32,Eintracht Frankfurt
Deji Beyreuther,Abwehr,18,Eintracht Frankfurt
Timothy Chandler,Abwehr,28,Eintracht Frankfurt
Danny da Costa,Abwehr,25,Eintracht Frankfurt
Simon Falette,Abwehr,26,Eintracht Frankfurt
Makoto Hasebe,Abwehr,34,Eintracht Frankfurt
Noel Knothe,Abwehr,19,Eintracht Frankfurt
Evan Ndicka,Abwehr,18,Eintracht Frankfurt
Marco Russ,Abwehr,32,Eintracht Frankfurt
Carlos Salcedo,Abwehr,24,Eintracht Frankfurt
Taleb Tawatha,Abwehr,26,Eintracht Frankfurt
Jetro Willems,Abwehr,24,Eintracht Frankfurt
Allan,Mittelfeld,21,Eintracht Frankfurt
Danny Blum,Mittelfeld,27,Eintracht Frankfurt
Marijan Cavar,Mittelfeld,20,Eintracht Frankfurt
Sahverdi Cetin,Mittelfeld,17,Eintracht Frankfurt
Jonathan de Guzman,Mittelfeld,30,Eintracht Frankfurt
Marco Fabian,Mittelfeld,29,Eintracht Frankfurt
Gelson Fernandes,Mittelfeld,31,Eintracht Frankfurt
Mijat Gacinovic,Mittelfeld,23,Eintracht Frankfurt
Francisco Geraldes,Mittelfeld,23,Eintracht Frankfurt
Daichi Kamada,Mittelfeld,21,Eintracht Frankfurt
Nicolai Müller,Mittelfeld,30,Eintracht Frankfurt
Marc Stendera,Mittelfeld,22,Eintracht Frankfurt
Lucas Torro,Mittelfeld,24,Eintracht Frankfurt
Sebastien Haller,Sturm,24,Eintracht Frankfurt
Branimir Hrgota,Sturm,25,Eintracht Frankfurt
Luka Jovic,Sturm,20,Eintracht Frankfurt
Nelson Mandela Mbouhom,Sturm,19,Eintracht Frankfurt
