Christian Fiedler,Tor,27,Hertha BSC,6
Gabor Kiraly,Tor,26,Hertha BSC,126
Arne Friedrich,Abwehr,23,Hertha BSC,125
Michael Hartmann,Abwehr,28,Hertha BSC,27
Kostas Konstantinidis,Abwehr,29,Hertha BSC,58
Denis Lapaczinski,Abwehr,20,Hertha BSC,-1
Alexander Madlung,Abwehr,20,Hertha BSC,5
Nene,Abwehr,27,Hertha BSC,8
Marko Rehmer,Abwehr,30,Hertha BSC,19
Josip Simunic,Abwehr,24,Hertha BSC,51
Dick Burik van,Abwehr,28,Hertha BSC,20
Stefan Beinlich,Mittelfeld,30,Hertha BSC,23
Pal Dardai,Mittelfeld,26,Hertha BSC,68
Bart Goor,Mittelfeld,29,Hertha BSC,32
Bartosz Karwan,Mittelfeld,26,Hertha BSC,6
Rob Maas,Mittelfeld,32,Hertha BSC,3
Marcelinho,Mittelfeld,27,Hertha BSC,159
Thorben Marx,Mittelfeld,21,Hertha BSC,50
Aleksandar Mladenov,Mittelfeld,20,Hertha BSC,2
Andreas Neuendorf,Mittelfeld,27,Hertha BSC,18
Roberto Pinto,Mittelfeld,23,Hertha BSC,14
Andreas Schmidt,Mittelfeld,28,Hertha BSC,17
René Tretschok,Mittelfeld,33,Hertha BSC,0
Alves Alex,Sturm,27,Hertha BSC,62
Luizao,Sturm,26,Hertha BSC,3
Michael Preetz,Sturm,34,Hertha BSC,32
Nando Rafael,Sturm,18,Hertha BSC,16
Eyjolfur Sverrisson,Sturm,33,Hertha BSC,8
Mathias Hain,Tor,29,Arminia Bielefeld,142
Daniel Bogusz,Abwehr,27,Arminia Bielefeld,5
Torjus Hansén,Abwehr,28,Arminia Bielefeld,28
Sasa Janic,Abwehr,27,Arminia Bielefeld,1
Benjamin Lense,Abwehr,23,Arminia Bielefeld,22
Borges Marcio,Abwehr,29,Arminia Bielefeld,22
Bernd Rauw,Abwehr,22,Arminia Bielefeld,-1
Bastian Reinhardt,Abwehr,26,Arminia Bielefeld,128
Jesus Sinisterra,Abwehr,26,Arminia Bielefeld,1
Erhan Albayrak,Mittelfeld,25,Arminia Bielefeld,2
Ansgar Brinkmann,Mittelfeld,33,Arminia Bielefeld,38
Du-Ri Cha,Mittelfeld,22,Arminia Bielefeld,10
Christoph Dabrowski,Mittelfeld,24,Arminia Bielefeld,20
Detlev Dammeier,Mittelfeld,33,Arminia Bielefeld,36
Rüdiger Kauf,Mittelfeld,27,Arminia Bielefeld,73
Maciej Murawski,Mittelfeld,28,Arminia Bielefeld,14
Massimilian Porcello,Mittelfeld,22,Arminia Bielefeld,20
Rade Bogdanovic,Sturm,32,Arminia Bielefeld,14
Mamadou Diabang,Sturm,23,Arminia Bielefeld,48
Marek Heinz,Sturm,24,Arminia Bielefeld,-22
Dirk Ven der van,Sturm,32,Arminia Bielefeld,1
Fatmir Vata,Sturm,30,Arminia Bielefeld,3
Artur Wichniarek,Sturm,25,Arminia Bielefeld,49
Rein Duijnhoven van,Tor,34,VfL Bochum,159
Christian Vander,Tor,21,VfL Bochum,23
Michael Bemben,Abwehr,26,VfL Bochum,-2
Sören Colding,Abwehr,29,VfL Bochum,62
Frank Fahrenhorst,Abwehr,24,VfL Bochum,60
Paul Freier,Abwehr,23,VfL Bochum,127
Raymond Kalla,Abwehr,27,VfL Bochum,44
Martin Meichelbeck,Abwehr,25,VfL Bochum,9
Alexander Thamm,Abwehr,19,VfL Bochum,2
Anton Vriesde,Abwehr,33,VfL Bochum,-10
Delron Buckley,Mittelfeld,24,VfL Bochum,32
Mirko Dickhaut,Mittelfeld,31,VfL Bochum,1
Cristian Fiel,Mittelfeld,22,VfL Bochum,-3
Thordur Gudjonsson,Mittelfeld,28,VfL Bochum,58
Sergei Mandreko,Mittelfeld,31,VfL Bochum,-4
Sunday Oliseh,Mittelfeld,27,VfL Bochum,16
Thomas Reis,Mittelfeld,28,VfL Bochum,12
Sebastian Schindzielorz,Mittelfeld,23,VfL Bochum,67
Filip Tapalovic,Mittelfeld,25,VfL Bochum,18
Luciano Velardi,Mittelfeld,20,VfL Bochum,3
Dariusz Wosz,Mittelfeld,33,VfL Bochum,77
David Zajas,Mittelfeld,19,VfL Bochum,1
Thomas Christiansen,Sturm,29,VfL Bochum,135
Marcus Fischer,Sturm,21,VfL Bochum,1
Peter Graulund,Sturm,25,VfL Bochum,13
Vahid Hashemian,Sturm,26,VfL Bochum,60
Pascal Borel,Tor,23,Werder Bremen,94
Jakub Wierzchowski,Tor,25,Werder Bremen,-2
Mladen Krstajic,Abwehr,28,Werder Bremen,101
Ludovic Magnin,Abwehr,23,Werder Bremen,12
Christian Schulz,Abwehr,19,Werder Bremen,-3
Paul Stalteri,Abwehr,24,Werder Bremen,47
Razundara Tjikuzu,Abwehr,22,Werder Bremen,2
Frank Verlaat,Abwehr,34,Werder Bremen,93
Ivica Banovic,Mittelfeld,21,Werder Bremen,21
Mike Barten,Mittelfeld,28,Werder Bremen,15
Frank Baumann,Mittelfeld,26,Werder Bremen,35
Tim Borowski,Mittelfeld,22,Werder Bremen,2
Fabian Ernst,Mittelfeld,23,Werder Bremen,110
Krisztian Lisztes,Mittelfeld,26,Werder Bremen,40
Johan Micoud,Mittelfeld,29,Werder Bremen,85
Viktor Skripnik,Mittelfeld,32,Werder Bremen,5
Holger Wehlage,Mittelfeld,26,Werder Bremen,7
Ailton,Sturm,29,Werder Bremen,97
Angelos Charisteas,Sturm,22,Werder Bremen,38
Markus Daun,Sturm,21,Werder Bremen,37
Ivan Klasnic,Sturm,22,Werder Bremen,28
Marco Reich,Sturm,24,Werder Bremen,5
Nelson Valdez,Sturm,18,Werder Bremen,2
Gunnar Berntsen,Tor,24,Energie Cottbus,12
André Lenz,Tor,28,Energie Cottbus,126
Tomislav Piplica,Tor,33,Energie Cottbus,18
Christian Beeck,Abwehr,30,Energie Cottbus,-10
Gregg Berhalter,Abwehr,29,Energie Cottbus,14
Vragel Silva da,Abwehr,28,Energie Cottbus,31
Faruk Hujdurovic,Abwehr,32,Energie Cottbus,-38
Patrick Jahn,Abwehr,19,Energie Cottbus,2
Zsolt Löw,Abwehr,23,Energie Cottbus,-21
Marcel Rozgonyi,Abwehr,26,Energie Cottbus,-18
Vilmos Sebök,Abwehr,29,Energie Cottbus,-2
Bruno Akrapovic,Mittelfeld,34,Energie Cottbus,-15
Marco Gebhardt,Mittelfeld,29,Energie Cottbus,17
Lars Jungnickel,Mittelfeld,20,Energie Cottbus,7
Radoslaw Kaluzny,Mittelfeld,28,Energie Cottbus,20
Moussa Latoundji,Mittelfeld,23,Energie Cottbus,-5
Torsten Mattuschka,Mittelfeld,21,Energie Cottbus,-1
Vasile Miriuta,Mittelfeld,33,Energie Cottbus,-13
Laurentiu Reghecampf,Mittelfeld,26,Energie Cottbus,5
Timo Rost,Mittelfeld,23,Energie Cottbus,4
Silvio Schröter,Mittelfeld,23,Energie Cottbus,9
Ronny Thielemann,Mittelfeld,28,Energie Cottbus,-15
Markus Feldhoff,Sturm,27,Energie Cottbus,-10
Franklin,Sturm,33,Energie Cottbus,-5
Andrzej Juskowiak,Sturm,31,Energie Cottbus,12
Andrzej Kobylanski,Sturm,32,Energie Cottbus,-8
Thomas Reichenberger,Sturm,27,Energie Cottbus,1
Roberto Paulo Rink,Sturm,29,Energie Cottbus,-12
Marko Topic,Sturm,26,Energie Cottbus,49
Robert Vagner,Sturm,28,Energie Cottbus,-12
Jens Lehmann,Tor,32,Borussia Dortmund,116
Roman Weidenfeller,Tor,21,Borussia Dortmund,47
Dede,Abwehr,24,Borussia Dortmund,100
Guy Demel,Abwehr,21,Borussia Dortmund,3
Evanilson,Abwehr,26,Borussia Dortmund,41
Ramon Juan Fernandez,Abwehr,22,Borussia Dortmund,-5
Jörg Heinrich,Abwehr,32,Borussia Dortmund,8
Ahmed Madouni,Abwehr,21,Borussia Dortmund,74
