Christian Fiedler,Tor,26,Hertha BSC,37
Gabor Kiraly,Tor,25,Hertha BSC,122
Michael Hartmann,Abwehr,27,Hertha BSC,35
Kostas Konstantinidis,Abwehr,28,Hertha BSC,1
Denis Lapaczinski,Abwehr,19,Hertha BSC,22
Marko Rehmer,Abwehr,29,Hertha BSC,54
Josip Simunic,Abwehr,23,Hertha BSC,57
Dick Burik van,Abwehr,27,Hertha BSC,64
Stefan Beinlich,Mittelfeld,29,Hertha BSC,76
Pal Dardai,Mittelfeld,25,Hertha BSC,59
Sebastian Deisler,Mittelfeld,21,Hertha BSC,52
Bart Goor,Mittelfeld,28,Hertha BSC,54
Rob Maas,Mittelfeld,31,Hertha BSC,10
Marcelinho,Mittelfeld,26,Hertha BSC,159
Thorben Marx,Mittelfeld,20,Hertha BSC,20
Andreas Neuendorf,Mittelfeld,26,Hertha BSC,28
Roberto Pinto,Mittelfeld,22,Hertha BSC,-5
Andreas Schmidt,Mittelfeld,27,Hertha BSC,30
René Tretschok,Mittelfeld,32,Hertha BSC,21
Alves Alex,Sturm,26,Hertha BSC,51
Ali Daei,Sturm,32,Hertha BSC,-3
Fredrik Trond Ludvigsen,Sturm,19,Hertha BSC,2
Michael Preetz,Sturm,33,Hertha BSC,54
Eyjolfur Sverrisson,Sturm,32,Hertha BSC,24
Joel Tchami,Sturm,19,Hertha BSC,1
Frank Rost,Tor,28,Werder Bremen,200
Stefan Blank,Abwehr,24,Werder Bremen,1
Mladen Krstajic,Abwehr,27,Werder Bremen,52
Ludovic Magnin,Abwehr,22,Werder Bremen,0
Paul Stalteri,Abwehr,23,Werder Bremen,37
Razundara Tjikuzu,Abwehr,21,Werder Bremen,35
Frank Verlaat,Abwehr,33,Werder Bremen,74
Ivica Banovic,Mittelfeld,20,Werder Bremen,9
Frank Baumann,Mittelfeld,25,Werder Bremen,88
Marco Bode,Mittelfeld,32,Werder Bremen,62
Tim Borowski,Mittelfeld,21,Werder Bremen,37
Dieter Eilts,Mittelfeld,36,Werder Bremen,2
Fabian Ernst,Mittelfeld,22,Werder Bremen,88
Torsten Frings,Mittelfeld,24,Werder Bremen,207
Andreas Herzog,Mittelfeld,32,Werder Bremen,13
Krisztian Lisztes,Mittelfeld,25,Werder Bremen,117
Viktor Skripnik,Mittelfeld,31,Werder Bremen,55
Holger Wehlage,Mittelfeld,25,Werder Bremen,-5
Ailton,Sturm,28,Werder Bremen,109
Ivan Klasnic,Sturm,21,Werder Bremen,19
Roberto Silva,Sturm,25,Werder Bremen,0
André Lenz,Tor,27,Energie Cottbus,10
Tomislav Piplica,Tor,32,Energie Cottbus,112
Christian Beeck,Abwehr,29,Energie Cottbus,26
Vragel Silva da,Abwehr,27,Energie Cottbus,33
Faruk Hujdurovic,Abwehr,31,Energie Cottbus,-16
Janos Matyus,Abwehr,26,Energie Cottbus,-17
Jörg Scherbe,Abwehr,23,Energie Cottbus,-14
Vilmos Sebök,Abwehr,28,Energie Cottbus,7
Rudi Vata,Abwehr,31,Energie Cottbus,-1
Witold Wawrzyczek,Abwehr,28,Energie Cottbus,-9
Bruno Akrapovic,Mittelfeld,33,Energie Cottbus,6
Lars Jungnickel,Mittelfeld,19,Energie Cottbus,-1
Radoslaw Kaluzny,Mittelfeld,27,Energie Cottbus,67
Moussa Latoundji,Mittelfeld,22,Energie Cottbus,4
Vasile Miriuta,Mittelfeld,32,Energie Cottbus,29
Laurentiu Reghecampf,Mittelfeld,25,Energie Cottbus,-19
Timo Rost,Mittelfeld,22,Energie Cottbus,-6
Silvio Schröter,Mittelfeld,22,Energie Cottbus,6
