Felix Beijmo,Abwehr,21,Werder Bremen
Marco Friedl,Abwehr,21,Werder Bremen
Theodor Gebre Selassie,Abwehr,32,Werder Bremen
Sebastian Langkamp,Abwehr,31,Werder Bremen
Niklas Moisander,Abwehr,33,Werder Bremen
Milos Veljkovic,Abwehr,23,Werder Bremen
Philipp Bargfrede,Mittelfeld,30,Werder Bremen
Maximilian Eggestein,Mittelfeld,22,Werder Bremen
Ilia Gruev,Mittelfeld,19,Werder Bremen
Davy Klaassen,Mittelfeld,26,Werder Bremen
Kevin Möhwald,Mittelfeld,26,Werder Bremen
David Philipp,Mittelfeld,19,Werder Bremen
Nuri Sahin,Mittelfeld,30,Werder Bremen
Simon Straudi,Mittelfeld,20,Werder Bremen
Fin Bartels,Sturm,32,Werder Bremen
Johannes Eggestein,Sturm,21,Werder Bremen
Niclas Füllkrug,Sturm,26,Werder Bremen
Benjamin Goller,Sturm,20,Werder Bremen
Martin Harnik,Sturm,32,Werder Bremen
Yuya Osako,Sturm,29,Werder Bremen
Claudio Pizarro,Sturm,40,Werder Bremen
Milot Rashica,Sturm,23,Werder Bremen
Joshua Sargent,Sturm,19,Werder Bremen
Roman Bürki,Tor,28,Borussia Dortmund
Marwin Hitz,Tor,31,Borussia Dortmund
Eric Oelschlägel,Tor,23,Borussia Dortmund
Luca Unbehaun,Tor,18,Borussia Dortmund
Manuel Akanji,Abwehr,24,Borussia Dortmund
Leonardo Balerdi,Abwehr,20,Borussia Dortmund
Achraf Hakimi,Abwehr,20,Borussia Dortmund
Mats Hummels,Abwehr,30,Borussia Dortmund
Mateu Morey,Abwehr,19,Borussia Dortmund
Lukasz Piszczek,Abwehr,34,Borussia Dortmund
Marcel Schmelzer,Abwehr,31,Borussia Dortmund
Nico Schulz,Abwehr,26,Borussia Dortmund
Ömer Toprak,Abwehr,30,Borussia Dortmund
Dan-Axel Zagadou,Abwehr,20,Borussia Dortmund
Julian Brandt,Mittelfeld,23,Borussia Dortmund
Jacob Bruun Larsen,Mittelfeld,20,Borussia Dortmund
Mahmoud Dahoud,Mittelfeld,23,Borussia Dortmund
Thomas Delaney,Mittelfeld,27,Borussia Dortmund
Sergio Gomez,Mittelfeld,18,Borussia Dortmund
Raphael Guerreiro,Mittelfeld,25,Borussia Dortmund
Thorgan Hazard,Mittelfeld,26,Borussia Dortmund
Shinji Kagawa,Mittelfeld,30,Borussia Dortmund
Patrick Osterhage,Mittelfeld,19,Borussia Dortmund
Maximilian Philipp,Mittelfeld,25,Borussia Dortmund
Tobias Raschl,Mittelfeld,19,Borussia Dortmund
Marco Reus,Mittelfeld,30,Borussia Dortmund
Sebastian Rode,Mittelfeld,28,Borussia Dortmund
Jadon Sancho,Mittelfeld,19,Borussia Dortmund
André Schürrle,Mittelfeld,28,Borussia Dortmund
Julian Weigl,Mittelfeld,23,Borussia Dortmund
Axel Witsel,Mittelfeld,30,Borussia Dortmund
Marius Wolf,Mittelfeld,24,Borussia Dortmund
Mario Götze,Sturm,27,Borussia Dortmund
Paco Alcacer,Sturm,25,Borussia Dortmund
Florian Kastenmeier,Tor,22,Fortuna Düsseldorf
Michael Rensing,Tor,35,Fortuna Düsseldorf
Zackary Steffen,Tor,24,Fortuna Düsseldorf
Jannick Theißen,Tor,21,Fortuna Düsseldorf
Tim Wiesner,Tor,22,Fortuna Düsseldorf
Raphael Wolf,Tor,31,Fortuna Düsseldorf
Kaan Ayhan,Abwehr,24,Fortuna Düsseldorf
Robin Bormuth,Abwehr,23,Fortuna Düsseldorf
Diego Contento,Abwehr,29,Fortuna Düsseldorf
Niko Gießelmann,Abwehr,27,Fortuna Düsseldorf
Andre Hoffmann,Abwehr,26,Fortuna Düsseldorf
Jean Zimmer,Abwehr,25,Fortuna Düsseldorf
Matthias Zimmermann,Abwehr,27,Fortuna Düsseldorf
Nana Ampomah,Mittelfeld,23,Fortuna Düsseldorf
Aymen Barkok,Mittelfeld,21,Fortuna Düsseldorf
Adam Bodzek,Mittelfeld,33,Fortuna Düsseldorf
Johannes Bühler,Mittelfeld,22,Fortuna Düsseldorf
Oliver Fink,Mittelfeld,37,Fortuna Düsseldorf
Davor Lovren,Mittelfeld,20,Fortuna Düsseldorf
Alfredo Morales,Mittelfeld,29,Fortuna Düsseldorf
Havard Nielsen,Mittelfeld,26,Fortuna Düsseldorf
Thomas Pledl,Mittelfeld,25,Fortuna Düsseldorf
Marcel Sobottka,Mittelfeld,25,Fortuna Düsseldorf
Kevin Stöger,Mittelfeld,25,Fortuna Düsseldorf
Bernard Tekpetey,Mittelfeld,21,Fortuna Düsseldorf
Erik Thommy,Mittelfeld,24,Fortuna Düsseldorf
Rouwen Hennings,Sturm,31,Fortuna Düsseldorf
Kenan Karaman,Sturm,25,Fortuna Düsseldorf
Dawid Kownacki,Sturm,22,Fortuna Düsseldorf
Emir Kujovic,Sturm,31,Fortuna Düsseldorf
Frederik Rönnow,Tor,26,Eintracht Frankfurt
Felix Wiedwald,Tor,29,Eintracht Frankfurt
Jan Zimmermann,Tor,34,Eintracht Frankfurt
David Abraham,Abwehr,33,Eintracht Frankfurt
Timothy Chandler,Abwehr,29,Eintracht Frankfurt
Danny Costa da,Abwehr,26,Eintracht Frankfurt
Erik Durm,Abwehr,27,Eintracht Frankfurt
Simon Falette,Abwehr,27,Eintracht Frankfurt
Makoto Hasebe,Abwehr,35,Eintracht Frankfurt
Evan Ndicka,Abwehr,19,Eintracht Frankfurt
Marco Russ,Abwehr,33,Eintracht Frankfurt
Taleb Tawatha,Abwehr,27,Eintracht Frankfurt
Almamy Toure,Abwehr,23,Eintracht Frankfurt
Tuta,Abwehr,20,Eintracht Frankfurt
Jetro Willems,Abwehr,25,Eintracht Frankfurt
Marijan Cavar,Mittelfeld,21,Eintracht Frankfurt
Sahverdi Cetin,Mittelfeld,18,Eintracht Frankfurt
Jonathan de Guzman,Mittelfeld,31,Eintracht Frankfurt
Gelson Fernandes,Mittelfeld,32,Eintracht Frankfurt
Patrick Finger,Mittelfeld,18,Eintracht Frankfurt
Mijat Gacinovic,Mittelfeld,24,Eintracht Frankfurt
Daichi Kamada,Mittelfeld,22,Eintracht Frankfurt
Dominik Kohr,Mittelfeld,25,Eintracht Frankfurt
Filip Kostic,Mittelfeld,26,Eintracht Frankfurt
Nicolai Müller,Mittelfeld,31,Eintracht Frankfurt
Djibril Sow,Mittelfeld,22,Eintracht Frankfurt
Marc Stendera,Mittelfeld,23,Eintracht Frankfurt
Nils Stendera,Mittelfeld,18,Eintracht Frankfurt
Lucas Torro,Mittelfeld,25,Eintracht Frankfurt
Dejan Joveljic,Sturm,19,Eintracht Frankfurt
Goncalo Paciencia,Sturm,25,Eintracht Frankfurt
