Christian Fiedler,Tor,28,Hertha BSC,68
Gabor Kiraly,Tor,27,Hertha BSC,35
Dennis Cagara,Abwehr,18,Hertha BSC,15
Sofian Chahed,Abwehr,20,Hertha BSC,-10
Malik Fathi,Abwehr,19,Hertha BSC,3
Arne Friedrich,Abwehr,24,Hertha BSC,59
Michael Hartmann,Abwehr,29,Hertha BSC,-32
Denis Lapaczinski,Abwehr,21,Hertha BSC,-7
Alexander Madlung,Abwehr,21,Hertha BSC,21
Marko Rehmer,Abwehr,31,Hertha BSC,11
Josip Simunic,Abwehr,25,Hertha BSC,30
Dick Burik van,Abwehr,29,Hertha BSC,4
Pal Dardai,Mittelfeld,27,Hertha BSC,31
Bart Goor,Mittelfeld,30,Hertha BSC,-13
Bartosz Karwan,Mittelfeld,27,Hertha BSC,-9
Niko Kovac,Mittelfeld,31,Hertha BSC,0
Alexander Ludwig,Mittelfeld,19,Hertha BSC,-7
Marcelinho,Mittelfeld,28,Hertha BSC,72
Thorben Marx,Mittelfeld,22,Hertha BSC,-3
Aleksandar Mladenov,Mittelfeld,21,Hertha BSC,0
Andreas Neuendorf,Mittelfeld,28,Hertha BSC,58
Roberto Pinto,Mittelfeld,24,Hertha BSC,18
Andreas Schmidt,Mittelfeld,29,Hertha BSC,0
Fredi Bobic,Sturm,31,Hertha BSC,12
Luizao,Sturm,27,Hertha BSC,15
Nando Rafael,Sturm,19,Hertha BSC,28
Giuseppe Reina,Sturm,31,Hertha BSC,26
Artur Wichniarek,Sturm,26,Hertha BSC,-5
Rein Duijnhoven van,Tor,35,VfL Bochum,182
Michael Bemben,Abwehr,27,VfL Bochum,-2
Philipp Bönig,Abwehr,23,VfL Bochum,7
Sören Colding,Abwehr,30,VfL Bochum,40
Frank Fahrenhorst,Abwehr,25,VfL Bochum,146
Paul Freier,Abwehr,24,VfL Bochum,35
Raymond Kalla,Abwehr,28,VfL Bochum,72
Martin Meichelbeck,Abwehr,26,VfL Bochum,40
Anton Vriesde,Abwehr,34,VfL Bochum,6
Delron Buckley,Mittelfeld,25,VfL Bochum,4
Bjarni Gudjonsson,Mittelfeld,24,VfL Bochum,6
Thordur Gudjonsson,Mittelfeld,29,VfL Bochum,10
Sunday Oliseh,Mittelfeld,28,VfL Bochum,68
Miroslav Stevic,Mittelfeld,33,VfL Bochum,31
Filip Tapalovic,Mittelfeld,26,VfL Bochum,15
Dariusz Wosz,Mittelfeld,34,VfL Bochum,61
Thomas Zdebel,Mittelfeld,30,VfL Bochum,107
Mamadou Diabang,Sturm,24,VfL Bochum,24
Edu,Sturm,21,VfL Bochum,8
Vahid Hashemian,Sturm,27,VfL Bochum,143
Peter Madsen,Sturm,25,VfL Bochum,119
Pascal Borel,Tor,24,Werder Bremen,3
Andreas Reinke,Tor,34,Werder Bremen,128
Manuel Friedrich,Abwehr,23,Werder Bremen,1
Valerien Ismael,Abwehr,27,Werder Bremen,169
Mladen Krstajic,Abwehr,29,Werder Bremen,131
Ludovic Magnin,Abwehr,24,Werder Bremen,6
Christian Schulz,Abwehr,20,Werder Bremen,28
Paul Stalteri,Abwehr,25,Werder Bremen,49
Davala Ümit,Abwehr,30,Werder Bremen,29
Ivica Banovic,Mittelfeld,22,Werder Bremen,3
Frank Baumann,Mittelfeld,27,Werder Bremen,136
Tim Borowski,Mittelfeld,23,Werder Bremen,47
Fabian Ernst,Mittelfeld,24,Werder Bremen,183
Pekka Lagerblom,Mittelfeld,20,Werder Bremen,22
Krisztian Lisztes,Mittelfeld,27,Werder Bremen,97
Johan Micoud,Mittelfeld,30,Werder Bremen,151
Viktor Skripnik,Mittelfeld,33,Werder Bremen,12
Holger Wehlage,Mittelfeld,27,Werder Bremen,-2
Ailton,Sturm,30,Werder Bremen,198
Angelos Charisteas,Sturm,23,Werder Bremen,41
Markus Daun,Sturm,22,Werder Bremen,8
Ivan Klasnic,Sturm,23,Werder Bremen,138
Marco Reich,Sturm,25,Werder Bremen,2
Nelson Valdez,Sturm,19,Werder Bremen,48
Guillaume Warmuz,Tor,33,Borussia Dortmund,60
Roman Weidenfeller,Tor,22,Borussia Dortmund,58
André Bergdölmo,Abwehr,31,Borussia Dortmund,21
Markus Brzenska,Abwehr,19,Borussia Dortmund,-3
Dede,Abwehr,25,Borussia Dortmund,90
Guy Demel,Abwehr,22,Borussia Dortmund,15
Evanilson,Abwehr,27,Borussia Dortmund,7
Ramon Juan Fernandez,Abwehr,23,Borussia Dortmund,3
Niclas Jensen,Abwehr,28,Borussia Dortmund,29
Ahmed Madouni,Abwehr,22,Borussia Dortmund,2
Stefan Reuter,Abwehr,36,Borussia Dortmund,25
Christian Wörns,Abwehr,31,Borussia Dortmund,143
Otto Addo,Mittelfeld,28,Borussia Dortmund,2
Conceicao Flavio,Mittelfeld,29,Borussia Dortmund,34
Torsten Frings,Mittelfeld,26,Borussia Dortmund,77
Sebastian Kehl,Mittelfeld,23,Borussia Dortmund,28
Leandro,Mittelfeld,26,Borussia Dortmund,10
Malte Metzelder,Mittelfeld,21,Borussia Dortmund,4
Lars Ricken,Mittelfeld,27,Borussia Dortmund,21
Tomas Rosicky,Mittelfeld,22,Borussia Dortmund,24
Marcio Amoroso,Sturm,29,Borussia Dortmund,24
Ewerthon,Sturm,22,Borussia Dortmund,94
Salvatore Gambino,Sturm,19,Borussia Dortmund,60
Jan Koller,Sturm,30,Borussia Dortmund,106
David Odonkor,Sturm,19,Borussia Dortmund,36
Giuseppe Reina,Sturm,31,Borussia Dortmund,26
Sahr Senesie,Sturm,18,Borussia Dortmund,-2
Oka Nikolov,Tor,29,Eintracht Frankfurt,109
Markus Pröll,Tor,23,Eintracht Frankfurt,18
Uwe Bindewald,Abwehr,34,Eintracht Frankfurt,15
Chris,Abwehr,24,Eintracht Frankfurt,67
Geri Cipi,Abwehr,27,Eintracht Frankfurt,-24
Ingo Hertzsch,Abwehr,26,Eintracht Frankfurt,30
Jens Keller,Abwehr,32,Eintracht Frankfurt,2
Vivaldo Nascimento,Abwehr,23,Eintracht Frankfurt,2
Jurica Puljiz,Abwehr,23,Eintracht Frankfurt,-6
Jean-Clotaire Tsoumou-Madza,Abwehr,28,Eintracht Frankfurt,-2
Lars Weißenfeldt,Abwehr,23,Eintracht Frankfurt,1
Andree Wiedener,Abwehr,33,Eintracht Frankfurt,-8
Henning Bürger,Mittelfeld,33,Eintracht Frankfurt,-6
Du-Ri Cha,Mittelfeld,23,Eintracht Frankfurt,-10
Mehmet Dragusha,Mittelfeld,25,Eintracht Frankfurt,8
Sven Günther,Mittelfeld,29,Eintracht Frankfurt,-14
Jermaine Jones,Mittelfeld,21,Eintracht Frankfurt,-13
Markus Kreuz,Mittelfeld,26,Eintracht Frankfurt,-11
Stefan Lexa,Mittelfeld,26,Eintracht Frankfurt,10
Andreas Möller,Mittelfeld,35,Eintracht Frankfurt,-10
David Montero,Mittelfeld,29,Eintracht Frankfurt,-4
Christoph Preuß,Mittelfeld,22,Eintracht Frankfurt,64
Alexander Schur,Mittelfeld,32,Eintracht Frankfurt,74
Ervin Skela,Mittelfeld,26,Eintracht Frankfurt,62
Ioannis Amanatidis,Sturm,21,Eintracht Frankfurt,44
Markus Beierle,Sturm,31,Eintracht Frankfurt,-7
Nico Frommer,Sturm,25,Eintracht Frankfurt,0
Richard Golz,Tor,35,SC Freiburg,72
Julian Reinard,Tor,20,SC Freiburg,12
Timo Reus,Tor,29,SC Freiburg,2
Bruno Berner,Abwehr,25,SC Freiburg,20
Boubacar Diarra,Abwehr,24,SC Freiburg,34
Lars Hermel,Abwehr,32,SC Freiburg,-2
Oumar Kondé,Abwehr,23,SC Freiburg,3
Stefan Müller,Abwehr,29,SC Freiburg,10
Seyi Olajengbesi,Abwehr,22,SC Freiburg,-6
Sascha Riether,Abwehr,20,SC Freiburg,54
Daniel Schumann,Abwehr,26,SC Freiburg,0
Roda Antar,Mittelfeld,22,SC Freiburg,19
Zlatan Bajramovic,Mittelfeld,23,SC Freiburg,46
Ellery Cairo,Mittelfeld,24,SC Freiburg,23
Soumaila Coulibaly,Mittelfeld,25,SC Freiburg,39
Rolf-Christel Guié-Mien,Mittelfeld,25,SC Freiburg,10
Wilfried Sanou,Mittelfeld,19,SC Freiburg,5
Levan Tskitishvili,Mittelfeld,26,SC Freiburg,36
Tobias Willi,Mittelfeld,23,SC Freiburg,6
Andreas Zeyer,Mittelfeld,35,SC Freiburg,13
Alexander Iashvili,Sturm,25,SC Freiburg,72
Dennis Kruppke,Sturm,23,SC Freiburg,26
Ibrahim Tanko,Sturm,26,SC Freiburg,-19
Martin Pieckenhagen,Tor,31,Hamburger SV,16
Tom Starke,Tor,22,Hamburger SV,-3
Stefan Wächter,Tor,25,Hamburger SV,72
Milan Fukal,Abwehr,28,Hamburger SV,6
Jan Nico Hoogma,Abwehr,34,Hamburger SV,48
