Marwin Hitz,Tor,26,FC Augsburg,-6,2,4,2,2,4,2,0,2,2,2,4,0,0,0,0,0,0,0,0,0,10,2,4,4,4,6,4,4,2,4,6,2,0
Alexander Manninger,Tor,37,FC Augsburg,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,6,4,6,2,-4,0,0,0,0,0,0,0,0,0,0,0,0,0
Rahman Abdul Baba,Abwehr,20,FC Augsburg,2,2,0,-2,2,2,0,5,2,2,2,-2,3,0,-4,-4,4,0,0,0,-2,2,2,6,2,0,0,-4,-2,-2,2,2,-3,4
Jan-Ingwer Callsen-Bracker,Abwehr,29,FC Augsburg,-6,-4,2,-2,2,2,2,0,0,-2,9,2,4,-2,0,0,-4,0,0,-1,-1,-2,-4,2,0,-6,0,0,0,0,0,0,0,0
Marcel Jong de,Abwehr,27,FC Augsburg,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeong-Ho Hong,Abwehr,24,FC Augsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,2,-4,-4,-6,4,4,-2,2
Christoph Janker,Abwehr,29,FC Augsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ragnar Klavan,Abwehr,28,FC Augsburg,2,-4,0,-2,-2,2,2,-4,5,2,0,2,0,2,2,0,2,4,0,11,5,6,-2,4,-2,0,2,-4,2,-6,2,2,-2,2
Ronny Philp,Abwehr,25,FC Augsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paul Verhaegh,Abwehr,30,FC Augsburg,0,-2,0,7,2,9,0,-6,7,0,3,9,11,5,-6,2,4,2,2,0,0,0,0,0,0,0,0,2,-2,-2,2,0,4,0
Daniel Baier,Mittelfeld,30,FC Augsburg,0,-2,2,6,2,-2,0,2,0,-2,2,0,0,2,-2,0,6,4,4,2,2,3,-2,2,-2,0,0,0,2,-2,2,2,2,2
Caiuby,Mittelfeld,26,FC Augsburg,-6,0,0,1,-2,0,-2,0,0,0,0,0,0,0,0,0,2,0,0,0,4,10,-2,0,-4,0,2,-4,0,0,0,0,0,0
Alexander Esswein,Mittelfeld,24,FC Augsburg,0,0,0,0,0,0,0,0,3,-4,0,0,0,4,0,-6,7,0,0,0,0,0,0,0,0,0,0,0,-1,-4,-2,0,0,0
Markus Feulner,Mittelfeld,32,FC Augsburg,-2,0,0,0,0,0,0,0,0,0,0,0,2,0,-2,0,10,0,-2,0,-2,0,-2,2,2,-6,4,0,2,-2,0,0,-2,2
Pierre-Emile Höjbjerg,Mittelfeld,18,FC Augsburg,0,0,0,-4,0,0,0,2,0,0,0,0,0,0,0,0,-4,3,0,2,-2,2,0,0,-4,-4,-2,6,-2,1,0,7,-2,10
Dominik Kohr,Mittelfeld,20,FC Augsburg,0,0,-2,0,-2,0,-2,-2,0,-2,0,0,0,-2,0,0,0,1,0,0,0,-2,0,8,-6,0,0,-2,0,0,0,4,-2,2
