Fabian Giefer,Tor,28,FC Augsburg,2,2,-8,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gregor Kobel,Tor,20,FC Augsburg,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,-4,6,10,6,-4,-2,6,2,0,-4,6,0,-6
Andreas Luthe,Tor,31,FC Augsburg,0,0,0,0,8,4,-6,6,4,-2,-2,-2,-2,4,-4,-2,2,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0
Simon Asta,Abwehr,17,FC Augsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
Jan-Ingwer Callsen-Bracker,Abwehr,33,FC Augsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Danso,Abwehr,19,FC Augsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-6,-4,2,0,-2,-2,-2,4,-1,-6,-10,0,0,3,0,0,-10
Raphael Framberger,Abwehr,22,FC Augsburg,0,0,0,-4,-4,0,2,0,0,0,0,0,-2,-4,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Felix Götze,Abwehr,20,FC Augsburg,0,0,0,0,5,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeffrey Gouweleeuw,Abwehr,27,FC Augsburg,2,8,2,0,5,5,-4,4,2,6,2,-6,0,-4,2,0,0,0,0,0,0,0,0,0,0,0,-4,-4,0,4,-2,2,-2,-10
Martin Hinteregger,Abwehr,25,FC Augsburg,9,2,0,-2,0,-2,-4,0,0,-2,-4,-4,0,-4,-2,9,0,2,-6,-4,6,2,4,2,6,11,2,6,0,0,-4,-8,-4,-6
Christoph Janker,Abwehr,33,FC Augsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8
Philipp Max,Abwehr,24,FC Augsburg,-2,7,2,9,-2,2,10,-2,2,0,2,-2,-2,-4,4,-6,0,-4,-6,0,-6,5,-6,2,2,2,-2,-6,0,18,-6,-2,0,0
Reece Oxford,Abwehr,19,FC Augsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-6,-12,0,0,0,0,-6,0,0,0,0,-6,-6
Konstantinos Stafylidis,Abwehr,24,FC Augsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,-6,4,-6,2,-8,0,0,0,0,0,2,3,-6,2,-2,0
Jozo Stanic,Abwehr,19,FC Augsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Baier,Mittelfeld,34,FC Augsburg,2,0,-2,2,-4,0,-2,2,0,2,2,-2,0,-2,0,0,0,2,-4,2,-4,0,-6,4,0,-2,0,-6,3,2,-2,0,-2,-6
Caiuby,Mittelfeld,30,FC Augsburg,-4,0,2,1,-4,8,2,-2,0,-4,0,1,-2,-6,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Gregoritsch,Mittelfeld,24,FC Augsburg,-2,10,0,2,-2,4,10,-4,-6,0,0,0,0,-4,8,-2,-6,-6,0,2,-6,-1,-6,0,-2,0,-6,0,11,4,-4,-4,12,-8
André Hahn,Mittelfeld,27,FC Augsburg,6,2,-2,3,-2,1,3,-4,-2,0,0,0,-2,-6,0,0,2,-6,-4,0,0,0,0,5,0,11,-8,-6,-2,11,-6,-2,6,-6
Fredrik Jensen,Mittelfeld,20,FC Augsburg,0,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,-2,0,0,0,-4,0,0,0,0,0,0,0,0,0
Rani Khedira,Mittelfeld,24,FC Augsburg,-2,2,1,-2,2,0,-2,2,6,0,-2,-4,2,2,2,0,8,0,-6,2,-6,0,-2,2,6,0,-2,0,2,10,-2,2,0,0
Ja-Cheol Koo,Mittelfeld,29,FC Augsburg,0,-2,0,4,0,0,0,2,-4,-4,-2,0,-6,0,-6,6,-2,0,0,0,0,0,-8,2,-4,-2,-4,-6,5,0,-4,-2,-2,0
Jan Moravek,Mittelfeld,28,FC Augsburg,0,0,0,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,5,-4,-4,0,0,0,0,0,0,0,2,0,0,-3,-6
Marco Richter,Mittelfeld,20,FC Augsburg,1,2,-2,-6,0,3,0,0,-2,0,3,-4,0,0,-2,0,-6,0,0,0,0,0,0,0,-2,-2,-8,-6,16,19,-6,-2,3,-5
Jonathan Schmid,Mittelfeld,28,FC Augsburg,3,-2,-2,0,0,2,0,-2,0,11,-4,-4,0,0,-2,1,3,6,-2,2,-4,-6,-2,0,0,10,0,-6,-4,8,-5,2,-4,-8
Georg Teigl,Mittelfeld,27,FC Augsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-4,0,0,0,0,0,0,0,1,0
Sergio Cordova,Sturm,20,FC Augsburg,0,0,0,0,0,0,0,0,0,0,0,3,-2,0,0,0,7,0,0,0,0,0,-6,0,-6,9,0,0,0,0,0,0,0,0
Alfred Finnbogason,Sturm,29,FC Augsburg,0,0,0,0,0,20,9,-6,3,5,9,0,0,-4,-2,1,1,-4,-6,19,-4,0,0,0,0,-4,-6,-4,-2,0,0,0,0,0
Dong-Won Ji,Sturm,27,FC Augsburg,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,0,4,-6,7,-3,16,0,0,-6,-8,0,0,0,0,0,-10
Julian Schieber,Sturm,29,FC Augsburg,0,0,0,0,0,0,0,0,0,0,0,-2,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,-1
Rune Jarstein,Tor,33,Hertha BSC,6,10,8,4,2,0,6,2,6,10,2,2,4,2,2,2,-2,2,2,6,4,2,-4,2,2,6,4,4,6,4,6,2,0,0
Thomas Kraft,Tor,30,Hertha BSC,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-4
Florian Baak,Abwehr,19,Hertha BSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lukas Klünter,Abwehr,22,Hertha BSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,-4,0,-2,-4,-5,0,-2,-2
Derrick Luckassen,Abwehr,23,Hertha BSC,0,0,0,0,0,0,0,0,0,0,-6,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabian Lustenberger,Abwehr,30,Hertha BSC,0,0,0,4,-6,0,2,4,-6,-4,0,-2,2,4,-6,0,-1,2,2,2,2,4,2,2,-2,0,-10,0,0,0,0,2,-2,-2
Maximilian Mittelstädt,Abwehr,21,Hertha BSC,-2,0,0,0,0,2,0,0,5,-2,-9,0,0,0,7,-2,-6,0,0,0,2,-2,-2,-2,-2,1,-6,-4,-4,0,-6,0,0,-4
Peter Pekarik,Abwehr,31,Hertha BSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0
Marvin Plattenhardt,Abwehr,26,Hertha BSC,-2,0,0,5,-4,0,0,-2,0,-6,0,0,-2,5,-2,0,-6,0,-2,-6,0,0,0,0,0,0,0,0,-6,-2,-2,2,9,-2
Karim Rekik,Abwehr,23,Hertha BSC,2,0,0,0,2,4,0,0,2,-6,-2,0,0,0,0,0,0,0,0,2,4,4,-8,0,-2,-2,-6,-6,0,2,4,0,-2,-6
Niklas Stark,Abwehr,23,Hertha BSC,2,2,-2,-2,-4,6,2,0,-2,-4,0,0,0,0,0,0,0,2,-2,0,2,2,4,7,2,4,-2,-2,0,2,0,0,0,0
Jordan Torunarigha,Abwehr,20,Hertha BSC,2,2,4,0,0,0,0,0,0,0,-10,0,14,0,-4,-4,1,0,0,0,2,2,0,0,-1,-7,0,0,0,0,0,0,0,0
Palko Dardai,Mittelfeld,19,Hertha BSC,0,0,0,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vladimir Darida,Mittelfeld,27,Hertha BSC,0,0,0,0,0,0,0,0,-2,0,1,0,0,0,-6,0,-4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Javairo Dilrosun,Mittelfeld,20,Hertha BSC,0,5,8,10,8,-2,-4,-4,0,-2,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-4
Ondrej Duda,Mittelfeld,23,Hertha BSC,-2,16,8,8,-4,12,-4,4,-2,-4,-6,-5,0,0,0,6,-2,16,-1,-6,11,4,-4,0,0,0,-10,-1,0,-4,0,6,5,-1
Marko Grujic,Mittelfeld,22,Hertha BSC,0,2,2,4,0,0,0,0,0,0,0,2,4,10,0,0,0,0,8,0,5,-2,0,4,2,-2,-6,2,0,-2,0,0,6,-4
Dennis Jastrzembski,Mittelfeld,18,Hertha BSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salomon Kalou,Mittelfeld,32,Hertha BSC,-4,-6,-2,7,0,7,0,0,16,-4,-4,0,-4,-4,0,0,0,0,0,0,10,3,-4,-6,-2,16,-8,-6,-6,0,-2,6,16,-6
Valentino Lazaro,Mittelfeld,22,Hertha BSC,5,0,2,10,-2,5,2,-2,4,-2,-2,6,1,2,-2,5,-2,4,0,-6,0,2,-2,3,0,-6,-6,-4,-8,0,-2,-2,4,2
Mathew Leckie,Mittelfeld,27,Hertha BSC,0,0,0,0,0,0,0,0,0,0,0,10,0,2,-6,8,0,0,0,0,0,0,0,0,0,0,0,-4,-6,-4,0,-1,0,0
Arne Maier,Mittelfeld,19,Hertha BSC,-2,4,0,4,-2,2,-2,-2,0,-4,-4,0,-2,2,0,0,-4,4,4,-2,0,0,0,0,4,2,-8,0,0,0,0,0,0,0
Ciljan Per Skjelbred,Mittelfeld,31,Hertha BSC,0,0,0,0,0,4,-2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,2,-2,2,-4
Vedad Ibisevic,Sturm,33,Hertha BSC,5,-4,-2,14,3,7,0,-2,-2,-2,-6,3,5,-2,0,0,0,10,5,-6,0,0,0,0,5,-6,0,0,0,-2,-4,8,-2,0
Pascal Köpke,Sturm,22,Hertha BSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
