Marwin Hitz,Tor,29,FC Augsburg,-4,2,2,6,6,4,8,4,2,4,0,2,-6,2,2,2,4,2,4,6,2,2,6,2,2,2,4,4,-2,4,2,0,2,0
Andreas Luthe,Tor,30,FC Augsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Simon Asta,Abwehr,16,FC Augsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Danso,Abwehr,18,FC Augsburg,0,0,0,0,0,0,0,-2,-2,4,7,-2,2,2,0,-2,0,0,0,-4,0,-2,-2,9,-2,0,0,0,0,0,0,0,0,-2
Raphael Framberger,Abwehr,21,FC Augsburg,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,-2,0,2,-6,-2,-2,0,0,0,0,0,0,0,0,0,0
Jeffrey Gouweleeuw,Abwehr,26,FC Augsburg,2,2,2,2,4,2,0,3,0,2,2,-2,6,2,4,0,-2,4,0,4,0,0,0,0,0,0,0,2,-2,2,2,2,2,-6
Martin Hinteregger,Abwehr,24,FC Augsburg,0,-4,-4,-4,2,0,-2,-2,0,0,0,0,2,2,2,0,0,6,4,4,6,0,2,2,-6,0,-6,2,-4,4,2,0,-2,-2
Kilian Jakob,Abwehr,19,FC Augsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,0
Christoph Janker,Abwehr,32,FC Augsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0
Philipp Max,Abwehr,23,FC Augsburg,-2,0,5,10,2,0,5,3,2,7,4,-4,3,7,5,3,7,0,0,3,2,-2,2,0,-2,7,3,0,-2,-2,0,0,7,0
Daniel Opare,Abwehr,26,FC Augsburg,0,0,2,0,0,2,2,-2,-2,2,0,0,2,-2,0,0,0,-2,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Konstantinos Stafylidis,Abwehr,23,FC Augsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Baier,Mittelfeld,33,FC Augsburg,0,6,0,4,2,0,0,0,1,6,2,-6,2,0,2,2,0,0,0,0,4,0,0,0,-4,2,-4,0,-2,0,0,0,1,-2
Caiuby,Mittelfeld,29,FC Augsburg,0,-2,2,4,6,0,10,0,4,5,6,-6,-2,1,8,8,5,3,-2,10,5,-4,-2,-2,0,8,-2,0,-2,-2,4,6,0,-6
Michael Gregoritsch,Mittelfeld,23,FC Augsburg,-4,-1,0,0,8,0,-2,4,10,16,5,-4,8,13,-4,9,-1,-2,-2,-2,8,-4,-2,0,-2,16,0,-2,0,-4,10,6,-6,0
Marcel Heller,Mittelfeld,31,FC Augsburg,0,1,7,2,0,-4,2,0,0,2,0,-6,0,-4,2,0,-4,0,0,0,2,-6,-4,-2,-6,0,0,0,0,0,0,-6,0,0
Gojko Kacar,Mittelfeld,30,FC Augsburg,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,-6,0,0,0,0,0,0,0
Rani Khedira,Mittelfeld,23,FC Augsburg,0,0,2,0,4,4,0,0,4,4,2,0,0,0,0,0,-2,-2,-6,0,0,-2,2,2,-2,2,4,2,-2,0,3,2,-2,-6
Ja-Cheol Koo,Mittelfeld,28,FC Augsburg,-4,2,0,-2,0,0,2,-4,0,0,-2,0,0,-2,0,-2,0,8,-2,-2,8,-2,2,2,-4,-2,-2,-4,2,-2,2,0,0,0
Jan Moravek,Mittelfeld,27,FC Augsburg,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,-2,-2,0,0,0,-2,0,-5,0,0,0,-6
Marco Richter,Mittelfeld,19,FC Augsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,-4,0,0,2,6,-2,0,-6
Jonathan Schmid,Mittelfeld,27,FC Augsburg,-6,0,0,-4,0,0,0,0,-4,0,0,-4,0,0,0,0,0,0,-4,0,0,-6,0,4,0,2,-6,-2,-4,0,4,0,-2,-2
Erik Thommy,Mittelfeld,22,FC Augsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,-2,3,6,9,-4,-2,-1,-6,8,-2,-6,1,7
