Christian Fiedler,Tor,28,Hertha BSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2,4,2,4,2,0,8,0,4,2,4,0,2,4,2,-4
Gabor Kiraly,Tor,27,Hertha BSC,0,4,6,4,2,2,2,-2,2,4,-4,-6,-2,2,-6,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dennis Cagara,Abwehr,18,Hertha BSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,2,0,0,2,0
Sofian Chahed,Abwehr,20,Hertha BSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,-6,-2,-6,0,-2,0,-2,0,0,0
Malik Fathi,Abwehr,19,Hertha BSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,-4,2,-2,-2,3,-2,-2,0,-4,0,-11,0,0,0
Arne Friedrich,Abwehr,24,Hertha BSC,0,-2,-4,2,-4,2,9,-4,-4,4,-2,0,-4,2,-6,0,-4,-6,2,16,-2,5,0,-8,0,0,0,2,0,7,0,2,-6,2
Michael Hartmann,Abwehr,29,Hertha BSC,-6,0,0,-6,-6,0,0,-8,-10,0,0,0,0,0,0,0,-6,0,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denis Lapaczinski,Abwehr,21,Hertha BSC,0,0,0,0,0,0,0,0,-13,0,0,0,0,7,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,0,0
Alexander Madlung,Abwehr,21,Hertha BSC,0,0,0,0,-2,0,0,0,-8,0,0,5,-2,-2,7,-4,-6,-6,0,0,0,2,0,0,-6,0,-2,0,-2,4,-8,4,9,-4
Marko Rehmer,Abwehr,31,Hertha BSC,0,2,2,2,-4,0,2,0,-6,6,0,-4,0,-2,4,-2,-6,-6,0,0,0,0,0,-4,-2,-8,0,0,0,0,-6,0,0,1
Josip Simunic,Abwehr,25,Hertha BSC,-6,2,-4,0,2,-2,2,-8,-6,4,-8,0,-6,0,0,0,0,-6,0,6,-6,2,2,4,4,-8,0,2,-2,4,-6,2,2,5
Dick Burik van,Abwehr,29,Hertha BSC,-6,2,0,0,0,2,0,0,-6,0,0,-2,-6,-2,0,-6,-6,-8,2,4,-2,2,0,-6,0,0,0,0,2,0,0,0,0,0
Pal Dardai,Mittelfeld,27,Hertha BSC,-4,0,-4,-2,0,4,0,-2,-6,4,-6,-4,0,-2,2,0,0,0,-2,2,-2,-1,-4,-2,2,-2,-2,3,0,4,-4,2,0,0
Bart Goor,Mittelfeld,30,Hertha BSC,-2,0,-6,-2,-2,8,-4,-6,-6,2,-4,0,-1,-6,-2,-6,-6,-6,0,0,0,0,0,0,0,0,0,0,0,0,-6,1,0,0
Bartosz Karwan,Mittelfeld,27,Hertha BSC,0,0,-6,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niko Kovac,Mittelfeld,31,Hertha BSC,-6,-2,-6,-6,-5,4,0,0,0,4,-2,3,-4,0,2,-4,-6,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander Ludwig,Mittelfeld,19,Hertha BSC,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,0,0,0
Marcelinho,Mittelfeld,28,Hertha BSC,-2,0,0,0,0,0,0,0,-4,4,-4,-5,0,0,-2,-3,-6,-6,-1,3,-6,14,6,-2,6,8,-4,4,-1,10,-6,12,3,4
Thorben Marx,Mittelfeld,22,Hertha BSC,-6,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aleksandar Mladenov,Mittelfeld,21,Hertha BSC,0,0,0,0,1,2,0,0,0,0,0,0,-4,-6,0,0,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andreas Neuendorf,Mittelfeld,28,Hertha BSC,0,2,-4,0,0,14,3,2,0,0,0,0,0,0,0,-4,-2,0,-2,8,0,6,-2,-2,2,0,-1,0,-4,0,0,5,0,-2
Roberto Pinto,Mittelfeld,24,Hertha BSC,0,0,0,0,0,0,-2,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,6,-6,4,-2,-6,4,-2,2
Andreas Schmidt,Mittelfeld,29,Hertha BSC,-6,0,0,0,0,0,0,0,0,2,-6,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,-4,-2,2,0,2,-6,2,-2,-2
