Marwin Hitz,Tor,28,FC Augsburg,4,2,2,10,2,0,6,2,4,4,8,6,2,2,2,6,4,2,2,-4,4,2,2,2,0,-2,-4,4,2,-2,2,2,0,0
Andreas Luthe,Tor,29,FC Augsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8
Jan-Ingwer Callsen-Bracker,Abwehr,31,FC Augsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Danso,Abwehr,17,FC Augsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,-6,-8,-4,3,-8,0,0,0,0
Raphael Framberger,Abwehr,20,FC Augsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0
Jeffrey Gouweleeuw,Abwehr,25,FC Augsburg,-2,9,1,-2,4,2,0,0,0,0,0,0,0,0,2,2,2,0,-2,-2,0,0,0,0,0,0,0,0,0,5,6,2,2,2
Martin Hinteregger,Abwehr,23,FC Augsburg,0,-6,-2,2,2,0,0,-4,-4,-2,4,4,0,-2,11,6,-2,-2,-4,-2,-4,2,11,-4,2,0,-6,0,11,-4,2,2,2,2
Christoph Janker,Abwehr,31,FC Augsburg,0,0,0,0,0,0,2,2,-6,-2,2,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,-10,0,-6,0,0,0,0,0,0
Philipp Max,Abwehr,22,FC Augsburg,0,0,0,-2,0,-6,0,0,-2,-4,-2,-4,0,-2,0,0,-2,0,-2,-4,-6,0,0,0,0,-10,0,-4,-2,-2,15,0,5,-2
Tim Rieder,Abwehr,22,FC Augsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,-6,0,0,0,0,0,0,0,0
Konstantinos Stafylidis,Abwehr,22,FC Augsburg,-2,7,5,0,6,-2,0,-2,-6,-2,-2,2,2,-2,0,-2,-2,0,0,-6,0,-4,9,2,9,0,-6,0,0,0,4,-2,-2,-2
Paul Verhaegh,Abwehr,32,FC Augsburg,0,0,-2,-4,0,-6,2,2,-2,-2,0,0,0,-2,0,-2,-2,0,1,-4,-2,9,0,-6,0,-6,4,0,7,-4,0,0,0,-2
Daniel Baier,Mittelfeld,32,FC Augsburg,-2,3,-2,0,6,1,8,2,1,2,4,2,2,-4,0,2,2,0,0,2,-2,0,0,0,0,0,-2,-2,4,-6,4,0,4,4
Caiuby,Mittelfeld,28,FC Augsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
