Sascha Burchert,Tor,19,Hertha BSC,0,0,0,0,0,2,0,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaroslav Drobny,Tor,29,Hertha BSC,2,-4,2,2,4,0,0,0,0,4,2,4,4,0,0,4,-4,4,10,4,6,2,4,4,2,2,3,6,4,4,6,4,10,2
Timo Ochs,Tor,27,Hertha BSC,0,0,0,0,0,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rasmus Bengtsson,Abwehr,23,Hertha BSC,0,0,0,0,-4,-10,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arne Friedrich,Abwehr,30,Hertha BSC,4,4,2,-4,0,-6,-6,7,-6,2,-2,-4,-2,-6,0,0,-5,2,-2,2,2,0,2,-6,-2,-4,7,4,6,2,2,4,-2,-2
Roman Hubnik,Abwehr,25,Hertha BSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,2,0,0,2,2,0,0,0,0,0,0
Christoph Janker,Abwehr,24,Hertha BSC,0,0,0,-2,0,0,-8,0,-10,0,0,0,0,0,-9,0,-8,0,0,0,0,-6,0,0,0,0,0,0,0,0,0,0,0,-4
Kaka,Abwehr,28,Hertha BSC,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Levan Kobiashvili,Abwehr,32,Hertha BSC,-6,0,0,-4,7,-2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,-4,2,-2,-2,-2,2,-2,0,4,-2,-4,0,-2
Fabian Lustenberger,Abwehr,21,Hertha BSC,0,0,0,0,0,0,0,0,0,0,-2,0,-2,-2,-2,2,-6,0,2,0,0,-2,-2,-2,0,0,7,4,2,0,-2,-2,-2,-2
Nemanja Pejcinovic,Abwehr,21,Hertha BSC,2,-2,-2,0,-6,-10,-10,-2,0,-2,-6,-2,-2,-9,-2,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lukasz Piszczek,Abwehr,24,Hertha BSC,-6,-6,0,7,-2,-4,-10,0,0,0,2,0,-6,-8,-2,-2,-4,11,0,-4,-2,0,-2,-4,-4,-4,2,0,1,-4,-4,-2,-4,-4
Marc Stein,Abwehr,24,Hertha BSC,-6,0,0,0,0,-6,-10,0,-8,0,-4,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-2
Steve Bergen von,Abwehr,26,Hertha BSC,2,2,0,-4,-6,0,0,-6,-10,0,-2,2,0,-6,0,4,-8,4,0,2,-2,0,0,-6,0,0,0,0,2,0,-6,2,-4,0
Sascha Bigalke,Mittelfeld,19,Hertha BSC,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cesar,Mittelfeld,30,Hertha BSC,0,0,0,0,0,-6,0,-4,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
