Jaroslav Drobny,Tor,27,Hertha BSC,2,2,-6,0,2,-2,-2,2,4,-2,2,0,2,0,4,-2,6,0,2,-2,4,2,0,6,-2,-2,0,0,8,-4,4,6,2,-4
Pascal Bieler,Abwehr,21,Hertha BSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sofian Chahed,Abwehr,24,Hertha BSC,-6,5,-2,3,3,-2,-2,-2,-6,-4,-2,-4,-2,-6,-6,0,0,-8,-2,-2,0,2,-4,-4,7,0,0,-2,0,7,-6,5,0,-10
Malik Fathi,Abwehr,23,Hertha BSC,2,9,-2,2,0,2,-2,-2,0,-2,0,-2,7,-6,-4,-6,0,-4,0,2,0,0,-2,0,0,0,0,0,0,0,0,0,0,0
Arne Friedrich,Abwehr,28,Hertha BSC,2,2,0,2,0,2,-6,2,0,-4,5,-2,2,0,-2,-4,0,0,5,2,4,4,0,2,2,0,0,2,-2,-2,0,0,2,-6
Gilberto,Abwehr,31,Hertha BSC,-2,0,2,0,-1,6,-6,0,-6,7,3,-4,2,0,-6,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabian Lustenberger,Abwehr,19,Hertha BSC,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-8,3,-4,0,-2,-2,2,2,0,0,0,-2,-4,-2,-4,0,0,-2,-6,-6
Lukasz Piszczek,Abwehr,22,Hertha BSC,-6,1,0,0,0,0,0,0,0,0,0,-2,-4,-6,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,-2,7,0,-9,-1,-6
Josip Simunic,Abwehr,29,Hertha BSC,0,0,-2,-2,2,2,-4,0,2,1,4,2,0,-4,-6,-4,6,-6,2,4,4,2,4,4,-2,0,-2,-6,-4,-6,0,2,-6,0
Steve Bergen von,Abwehr,24,Hertha BSC,0,0,2,0,-2,0,0,-2,-2,-6,2,-6,2,-2,-8,-4,2,0,0,0,2,2,5,-2,2,2,0,0,0,-2,-6,2,0,-10
Bryan Arguez,Mittelfeld,18,Hertha BSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pal Dardai,Mittelfeld,31,Hertha BSC,-4,-2,4,2,-2,2,-4,0,-6,-2,0,0,0,-2,0,-2,4,-8,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0
Patrick Ebert,Mittelfeld,20,Hertha BSC,-6,2,0,2,-6,4,-2,0,-2,1,-2,8,0,-2,-2,0,0,-6,-2,-4,-2,-4,4,-2,-4,0,0,0,-6,-4,-1,0,0,0
Tobias Grahn,Mittelfeld,27,Hertha BSC,0,0,-10,0,0,0,-4,-6,-4,-2,-2,-6,0,0,0,-2,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gojko Kacar,Mittelfeld,20,Hertha BSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,5,-6,-2,0,-2,2,5,2,2,0,-6,0,8,-4,4,-6
Lucio,Mittelfeld,28,Hertha BSC,2,-8,0,-2,-6,6,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mineiro,Mittelfeld,31,Hertha BSC,0,-4,0,0,0,0,0,2,-2,0,0,-4,-2,0,-6,0,0,0,5,0,0,0,0,0,0,8,0,-2,0,-2,0,4,2,-6
Christian Müller,Mittelfeld,23,Hertha BSC,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andreas Schmidt,Mittelfeld,33,Hertha BSC,-2,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rudolf Skacel,Mittelfeld,28,Hertha BSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-4,-2,4,2,-2,-2,0,-1,6,-4,-2,4,2,-2,-10
Lima André,Sturm,22,Hertha BSC,0,0,0,-4,-6,-4,-6,0,-10,0,0,0,7,0,-6,-8,0,0,0,0,0,0,0,-4,-6,0,7,-6,-6,0,0,0,0,0
Valeri Domovchiyski,Sturm,20,Hertha BSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Chinedu Ede,Sturm,20,Hertha BSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Srdjan Lakic,Sturm,23,Hertha BSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Okoronkwo,Sturm,20,Hertha BSC,0,7,0,3,0,3,-4,0,0,3,0,0,0,0,0,-2,0,0,0,0,0,0,0,-6,0,0,-6,0,0,0,0,0,0,0
Marko Pantelic,Sturm,28,Hertha BSC,-2,2,0,5,12,12,5,-2,-4,-6,7,-1,-2,5,2,3,0,-4,16,-2,2,10,7,0,0,-2,0,0,0,0,5,9,-2,-4
Raffael,Sturm,22,Hertha BSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,3,7,-4,10,-6,-4,-4,1,-2,0,0,1,1,-5,7,-3
Ibrahima Traoré,Sturm,19,Hertha BSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rowen Fernandez,Tor,29,Arminia Bielefeld,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-2,2,0,0,0,0,0,0,0,6,2,2,2,2,0,2,2,2,4
Mathias Hain,Tor,34,Arminia Bielefeld,2,2,4,2,2,4,2,-6,6,4,2,0,2,0,4,0,0,4,2,2,8,2,4,0,0,0,0,0,0,0,0,0,0,0
Dirk Heinen,Tor,36,Arminia Bielefeld,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
Markus Bollmann,Abwehr,26,Arminia Bielefeld,0,-6,0,-6,0,0,0,0,-4,0,0,-6,0,-4,0,-6,0,0,0,0,0,0,0,0,0,7,-2,-2,0,9,-2,-2,-4,0
