Christian Fiedler,Tor,27,Hertha BSC,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabor Kiraly,Tor,26,Hertha BSC,2,0,4,0,8,2,4,0,6,2,-2,2,4,4,-2,-6,2,4,2,0,4,8,0,2,4,-2,-2,4,4,2,4,-8,2,2
Arne Friedrich,Abwehr,23,Hertha BSC,0,7,2,-4,0,2,-2,0,5,9,-4,9,4,-2,-2,3,2,2,-4,3,4,2,2,2,2,5,0,2,5,0,9,-4,0,0
Michael Hartmann,Abwehr,28,Hertha BSC,0,0,-2,-8,-2,0,2,3,-2,-2,-6,-4,2,-6,0,0,-2,2,-6,6,4,-2,0,4,2,-2,-4,2,2,0,-4,-6,-4,2
Kostas Konstantinidis,Abwehr,29,Hertha BSC,0,0,0,0,0,0,0,0,0,-4,12,6,2,-6,0,0,2,2,2,0,0,0,0,9,2,0,4,0,0,-6,-8,0,-2,0
Denis Lapaczinski,Abwehr,20,Hertha BSC,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0
Alexander Madlung,Abwehr,20,Hertha BSC,0,0,0,0,0,0,0,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0
Nene,Abwehr,27,Hertha BSC,0,-2,2,0,0,0,0,0,0,0,0,0,2,-6,0,-2,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,0,0,0
Marko Rehmer,Abwehr,30,Hertha BSC,0,0,0,-6,2,0,-4,-2,0,0,0,0,6,-6,-2,-2,4,4,2,0,0,0,0,0,0,0,-10,0,0,0,0,-8,-2,2
Josip Simunic,Abwehr,24,Hertha BSC,0,2,2,0,0,0,0,0,0,0,0,0,0,0,-2,5,0,2,2,-2,2,0,4,2,2,0,-4,2,-4,2,0,-6,-6,4
Dick Burik van,Abwehr,28,Hertha BSC,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,2,0,0,0,0,-2,0,2,0,4,0,-6,0,-5,0,2,0,0,-6,2
Stefan Beinlich,Mittelfeld,30,Hertha BSC,0,0,-2,-8,-1,0,0,0,0,-2,0,1,0,-6,-6,1,-2,0,0,0,0,-4,2,6,6,2,2,0,2,0,-2,0,-4,0
